Freq,GD,IL/Gain,Phase,PDL,PMD,Freq,CD
196199.252917539,9.45563476035906,-32.4228179390664,0,0,0,196198.931911433,-273.42066576428
196198.610906378,8.08853143153766,-31.9621359337702,19779.7070117794,0,0,196198.289902373,-201.698091497599
196197.968899418,7.08004097404967,-31.4889322234015,39559.279784668,0,0,196197.647897514,-145.567773146809
196197.32689666,6.35220210831562,-31.027873149881,59338.7196093391,0,0,196197.005896857,-101.584309318969
196196.684898103,5.84428056172078,-30.5959043623153,79118.0274967058,0,0,196196.363900401,-60.5644773402958
196196.042903748,5.5414581750193,-30.2032512026722,98897.2043052808,0,0,196195.721908146,-15.3136446686801
196195.400913595,5.4648899516759,-29.8577506691792,118676.250906341,0,0,196195.079920093,34.9527321861444
196194.758927642,5.63965361260662,-29.5696202428223,138455.168264389,0,0,196194.437936242,87.2793803142542
196194.116945891,6.07605051417789,-29.3533143090544,158233.957415267,0,0,196193.795956592,139.39114225517
196193.474968342,6.77300622545374,-29.2258221888729,178012.619413401,0,0,196193.153981143,194.300723061662
196192.832994994,7.74450984076205,-29.2024525145789,197791.155339245,0,0,196192.512009895,261.103831533427
196192.191025847,9.05002899842918,-29.2925533988797,217569.566421382,0,0,196191.870042849,349.224184605794
196191.549060901,10.7961499214582,-29.4967464023153,237347.854223263,0,0,196191.228080003,458.010334275423
196190.907100156,13.0862015928353,-29.8049741815922,257126.020731664,0,0,196190.586121359,569.900577759205
196190.265143613,15.9357044816313,-30.1931142664128,276904.068173011,0,0,196189.944166916,651.128273461728
196189.62319127,19.1913458489399,-30.6166405472421,296681.998495797,0,0,196189.302216674,662.168914882824
196188.981243129,22.5021904233541,-31.0042473192483,316459.812631536,0,0,196188.660270633,574.358852983153
196188.339299188,25.3739846882698,-31.2574721259671,336237.509807212,0,0,196188.018328793,384.254692723766
196187.697359449,27.2952581518886,-31.2629156660681,356015.087221563,0,0,196187.376391154,119.234574070117
196187.05542391,27.8914310222392,-30.9170690917256,375792.54028649,0,0,196186.734457716,-170.027030312451
196186.413492572,27.041295870677,-30.1555450073977,395569.86341413,0,0,196186.092528479,-425.802168124198
196185.771565436,24.912285030056,-28.9735493809411,415347.051109955,0,0,196185.450603442,-601.948739643728
196185.1296425,21.9025413318373,-27.4277355979078,435124.099020117,0,0,196184.808682607,-676.892699881364
196184.487723764,18.5180778324305,-25.6190088766734,454901.004614216,0,0,196184.166765972,-656.593156449395
196183.84580923,15.2351120501835,-23.6649192563523,474677.767342701,0,0,196183.524853538,-567.685254593499
196183.203898896,12.396685777216,-21.6734729701422,494454.388308171,0,0,196182.882945304,-444.790863695903
196182.561992762,10.1727314587365,-19.7267316643643,514230.869647666,0,0,196182.241041271,-318.684201369661
196181.92009083,8.57931045188823,-17.8761926466342,534007.213873264,0,0,196181.599141439,-209.400666795955
196181.278193097,7.53230711790846,-16.1469517400174,553783.423359751,0,0,196180.957245807,-125.294786388423
196180.636299566,6.90583318596634,-14.5458150878889,573559.500058383,0,0,196180.315354375,-66.5557788512558
196179.994410235,6.57305429171006,-13.0694015386879,593335.445410747,0,0,196179.673467144,-29.2345101230808
196179.352525104,6.42688174109466,-11.7102481620153,613111.260386686,0,0,196179.031584114,-8.66245957884075
196178.710644173,6.38356944320046,-10.4603648213759,632886.945571202,0,0,196178.389705283,-0.906661779413298
196178.068767443,6.37903613430339,-9.31281234952803,652662.501251187,0,0,196177.747830653,-2.95071467177763
196177.426894914,6.3642825609445,-8.26196705501261,672437.927485501,0,0,196177.105960224,-12.3597102461986
196176.785026584,6.30248400971351,-7.30325957403713,692213.224159941,0,0,196176.464093994,-27.3185193950212
196176.143162455,6.1658914127384,-6.43282965169214,711988.391030093,0,0,196175.822231965,-45.9525058031772
196175.501302526,5.93612888372252,-5.64714927749679,731763.427758539,0,0,196175.180374136,-66.5373724350275
196174.859446797,5.60344202154738,-4.94277502655628,751538.333951145,0,0,196174.538520507,-87.4600473933754
196174.217595268,5.1661417845805,-4.31618417202755,771313.10919071,0,0,196173.896671078,-107.272957655709
196173.575747939,4.62977699630196,-3.76363284720813,791087.753067823,0,0,196173.254825849,-124.723613644369
196172.93390481,4.00615892808011,-3.28106309654277,810862.265208087,0,0,196172.61298482,-138.773532625476
196172.292065881,3.31229126495273,-2.86403638931085,830636.645295214,0,0,196171.971147992,-148.615131596148
196171.650231152,2.56921560697199,-2.50770584346781,850410.893089636,0,0,196171.329315362,-153.65785926291
196171.008400623,1.80092631065745,-2.20685163382652,870185.008442601,0,0,196170.687486933,-153.560775304294
196170.366574294,1.03312243413598,-1.95597468974613,889958.991305557,0,0,196170.045662704,-148.270815299963
196169.724752164,0.291768357636158,-1.74943698590042,909732.841734124,0,0,196169.403842674,-138.068813944562
196169.082934235,-0.398575712086654,-1.58161641187978,929506.559885799,0,0,196168.762026845,-123.588498297619
196168.441120505,-1.01651820357475,-1.44705537891814,949280.146010725,0,0,196168.120215215,-105.793406740401
196167.799310974,-1.54548523727675,-1.34059501269967,969053.600435593,0,0,196167.478407784,-85.8925057442832
196167.157505644,-1.97494776599817,-1.25748342118089,988826.923541732,0,0,196166.836604553,-65.2143567106407
196166.515704513,-2.30101954955137,-1.19345568325179,1008600.11573953,0,0,196166.194805522,-45.0450659556623
196165.873907581,-2.52624487932968,-1.14478100321148,1028373.17744208,0,0,196165.55301069,-26.4798378912587
196165.232114849,-2.65864406878597,-1.10827461281911,1048146.10904115,0,0,196164.911220058,-10.3106202666424
196164.590326317,-2.71019717011919,-1.08128347630937,1067918.91088818,0,0,196164.269433625,3.01733245845526
196163.948541984,-2.69511050782691,-1.06164632880227,1087691.58328183,0,0,196163.627651392,13.3837142153197
196163.30676185,-2.62819193675031,-1.04763666587974,1107464.12646221,0,0,196162.985873358,20.9254139945301
196162.664985916,-2.52356486677766,-1.03789531037784,1127236.54061114,0,0,196162.344099523,25.9486934180416
196162.023214181,-2.39382139968745,-1.03135834396117,1147008.82585654,0,0,196161.702329888,28.8467918680681
196161.381446645,-2.24958744034711,-1.02719338079564,1166780.98227953,0,0,196161.060564452,30.0317084829942
196160.739683308,-2.09942889793214,-1.02474733349088,1186553.00992253,0,0,196160.418803215,29.8851553189991
196160.097924171,-1.95000312133715,-1.02350857302396,1206324.90879728,0,0,196159.777046177,28.7232872576112
196159.456169233,-1.80638668504909,-1.02307959678223,1226096.67889184,0,0,196159.135293338,26.7785420796258
196158.814418494,-1.67249397465096,-1.02315615565536,1245868.32017616,0,0,196158.493544699,24.199529984412
196158.172671954,-1.5514963247289,-1.02351089564061,1265639.83260591,0,0,196157.851800258,21.0667903198782
196157.530929612,-1.44616237312951,-1.02398073473436,1285411.21612475,0,0,196157.210060017,17.4222105973115
